ID,dialect,valency_pattern,encoding,verb_meaning,verb_evenki,corpus,coord_etc,verb_comment,arg_comment1,other_comments,place,collection,dialectal_group,text,speakers,genre,place_corp,region,dialect_corp,subdialect_corp,collector,source,title,year,year_from,year_to,speaker,gender,latin,cyrillic,translation_rus,translation_eng,translation_de,comment_corpus,transcribed_by
ex_0016,Ilimpi,go_LOC,LOC,go,ŋənə,IL,,,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Как ездил в Потапово (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/kak-ezdil-v-potapovo-v-n-saygotin],[title: Как ездил в Потапово],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],nu stādəlāwər bəjil {{ŋənədirəØ}}.,Ну стāдолāвэр бэел ӈэнэдирэ.,Ну в стадо люди ехали.,ND,ND,—,[transcribed_by: ...]
ex_0017,Ilimpi,go_LOC,LOC,go,ŋənə,IL,,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Лапа медведя (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/lapa-medvedya-v-n-saygotin],[title: Лапа медведя],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],ńan tariŋmər ēwan irəkšəwon higdāwər ńan {{ŋənətčiŋnərəwun}} tālā girkunəl.,"Нян, тариӈмэр ēван, ирэкшэвон hигда̄вэр, нян ӈэнэтчиӈнэрэвун та̄ла̄ гиркунэл.","Опять, чтобы ободрать его это самое, его шкуру, опять мы пошли туда пешком.",ND,ND,—,[transcribed_by: ...]
ex_0018,Ilimpi,go_LOC,LOC,go,ŋənə,IL,,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],paka tālā tuksa ə̄rawunkǝ {{ŋənərəwun}} tariŋīwun diŋnīlə̄nďirən.,"Пока тāлā тукса... эравун-кэ, ңэнэрэвун, тариңӣвун дыңнӣлэ̅ндирэн","Пока туда это самое, пошли, этот наш [медведь] бежит.",ND,ND,—,[transcribed_by: ...]
ex_0019,Ilimpi,leave_LAT,LAT,leave,suru,IL,yes,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Как ездил в Потапово (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/kak-ezdil-v-potapovo-v-n-saygotin],[title: Как ездил в Потапово],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tāduk umūkōndū dīskī {{huručōwun}} tartikī alik stādəlā.,Тāдук умукōндӯ дӣскӣ хуручōвун тартикӣ Алик стāдолā.,оттуда вместе в лес поехали туда в стадо Алика.,ND,ND,—,[transcribed_by: ...]
ex_0020,Ilimpi,leave_LOC,LOC,leave,suru,IL,yes,,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Как ездил в Потапово (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/kak-ezdil-v-potapovo-v-n-saygotin],[title: Как ездил в Потапово],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tāduk umūkōndū dīskī {{huručōwun}} tartikī alik stādəlā.,Тāдук умукōндӯ дӣскӣ хуручōвун тартикӣ Алик стāдолā.,оттуда вместе в лес поехали туда в стадо Алика.,ND,ND,—,[transcribed_by: ...]
ex_0021,Ilimpi,leave_LOC,LOC,leave,suru,IL,yes,,deict,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],{{hururəwun}} tālā ŋəpkəkə̄lə̄.,Һурурэвун тāлā ңэпкэкэ̄лэ.,Мы пошли туда на кочку.,ND,ND,—,[transcribed_by: ...]
ex_0022,Ilimpi,leave_LOC,LOC,leave,suru,IL,yes,,,,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],{{hururəwun}} tālā ŋəpkəkə̄lə̄.,Һурурэвун тāлā ңэпкэкэ̄лэ.,Мы пошли туда на кочку.,ND,ND,—,[transcribed_by: ...]
ex_0023,Ilimpi,leave_LOC,LOC,leave,suru,IL,,,deict,arg of leave or not?,B_Sovetskoye_lake,BolSovOzero_K,Northern,Медведь ходит (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/medved-hodit-v-n-saygotin],[title: Медведь ходит],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],tālādā dīskī huktildən diŋnīlə̄γinən {{hururən}} uže.,"Тāлā-дā ды̄скӣ Һуктылдэн, дыңнӣлэ̄һинэн, Һурурэн уже.","Туда от реки убежал, убежал, ушел уже.",ND,ND,—,[transcribed_by: ...]
ex_0024,Ilimpi,leave_LOC,LOC,leave,suru,IL,,,,also ski,B_Sovetskoye_lake,BolSovOzero_K,Northern,Собаки (Сайготин Владимир Николаевич) [2006],[author: Сайготин Владимир Николаевич],[genre: lifestory],[recplace: Большое Советское озеро],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/sobaki-v-n-saygotin],[title: Собаки],[year: 2006],[year_from: 2006],[year_to: 2006],[speaker: ],[gender: ...],{{hururəwun}} əduk ďuktə ər guləldulō ńēskī.,hурурэвун эдук дюктэ эр гулэлдуло̄ ньēскӣ.,Поехали отсюда вдвоем в поселок [=в дома] вниз.,ND,ND,—,[transcribed_by: ...]
ex_0025,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Рассказ о жизни (Хутокогир Григорий Николаевич) [2007],[author: Хутокогир Григорий Николаевич],[genre: lifestory],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/rasskaz-o-zhizni-g-n-hutokogir],[title: Рассказ о жизни],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],ďuldəwə ilandəwə ətondə bihə hinduk {{ŋōliśil’ďəŋōn}} huktilďəŋōn.,"Дюлдэвэ иландэвэ этондэ бихэ, хиндук ңо̄лисилдеңо̄н, хуктилдеңо̄н.","Два, три дня не будешь [с ним], тебя бояться будет, убежит.",ND,ND,—,[transcribed_by: ...]
ex_0026,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Гагара (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/gagara-v-h-eldogir],[title: Гагара],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],hōt {{ŋōliśiwkīl}} biśol nuŋandukin śipkākār dəgi huwulin.,"hо̄т ӈо̄лисивкӣл бисёл нуӈандукин сипка̄ка̄р, дэги hувулин.","Очень сильно боялись ее птицы, все птицы.",ND,ND,—,[transcribed_by: ...]
ex_0027,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Как росомаха обманула птиц (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/kak-rosomaha-obmanula-ptic-v-h-eldogir],[title: Как росомаха обманула птиц],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],iŋə iŋihəlduktə əfkī {{ŋōləttə}}.,Иӈиhэлдук-тэ эвкӣ ӈо̄лэттэ.,Морозов не боится.,ND,ND,—,[transcribed_by: ...]
ex_0028,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Людоеды (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/lyudoedy-v-h-eldogir],[title: Людоеды],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],targaśirduk hōt {{ŋōliśifkīl}} biśol tar ətɨrkōr atɨrkānnun umukkōr girkuďanal.,"Таргасирдук hо̄т ӈо̄лисивкӣл бисёл тар этырко̄р атырка̄ннун, умукко̄р гиркудянал.","Тот старики [оговорка вместо «старик»] со старухой очень их боялись, когда одни ездили.",ND,ND,—,[transcribed_by: ...]
ex_0029,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Большая работа (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: lifestory],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/bolshaya-rabota-v-h-eldogir],[title: Большая работа],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],d’awduk {{ŋōliśiŋnəØm}} mūduk.,Дявдук ңо̄лисиңнэм мӯдук.,С лодки боюсь воды.,ND,ND,—,[transcribed_by: ...]
ex_0030,Ilimpi,leave_DAT,DAT,leave,suru,IL,,caus,,,Chirinda,Chirinda_K,Northern,Большая работа (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: lifestory],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/bolshaya-rabota-v-h-eldogir],[title: Большая работа],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],{{huruwuŋkītin}} tar frontadū ha biďəril hawalďaril bəjəl ďəwuwurətin.,Хурувуңкӣтин тар фронтадӯ ха= бидерил хавалдярил бэел девувурэтин.,"Увозили на фронт, чтобы рабочие люди ели.",ND,ND,—,[transcribed_by: ...]
ex_0031,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Лиса и женщины (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/lisa-i-zhenshchiny-v-h-eldogir],[title: Лиса и женщины],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],biraduk hələ bi {{ŋəliśiŋnəØm}}.,«Бирадук hэлэ би ӈэлисиӈнэм.,«Я боюсь реки.,ND,ND,—,[transcribed_by: ...]
ex_0032,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Гагара (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/gagara-v-h-eldogir],[title: Гагара],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],huwulitɨn dəγi huwulin hō minduk {{ŋōliśiwkī}}.,"hувулитын, дэги hувулин hо̄ миндук ӈо̄лисивкӣ».",Все птицы очень сильно меня боятся».,ND,ND,—,[transcribed_by: ...]
ex_0033,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Где я найду друга? (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/node/4889440],[title: Где я найду друга?],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],bikə {{ŋəliśiŋnəØm}} bəjəlduk.,Би-кэ ӈэлисиӈнэм бэелдук.,Я-то боюсь людей.,ND,ND,—,[transcribed_by: ...]
ex_0034,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Где я найду друга? (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/node/4889440],[title: Где я найду друга?],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],bi bəjə huwuldukin {{ŋəliśiŋnəØm}}.,"Би, бэе, hувулдукин ӈэлисиӈнэм.","Я, друг, всего боюсь.",ND,ND,—,[transcribed_by: ...]
ex_0035,Ilimpi,be_afraid_ABL,ABL,be_afraid,ŋə̄lə(t),IL,,,,,Chirinda,Chirinda_K,Northern,Комое (и Сарсикан) (Ёлдогир Валентина Христофоровна) [2007],[author: Ёлдогир Валентина Христофоровна],[genre: folklore],[recplace: Чиринда],[region: ...],[dialect: ...],[subdialect: ...],[collector: Kazakeich et al.],[site_url: http://siberian-lang.srcc.msu.ru/ru/text/komoe-v-h-eldogir-0],[title: Комое (и Сарсикан)],[year: 2007],[year_from: 2007],[year_to: 2007],[speaker: ],[gender: ...],tar huńīlin hurusol əduk ətəw ərəp komojəwə iśə komojəduk {{ŋōləttədā}} ətōptō əduk iśərə gunnəl.,"Тар hунӣлин hурусол, «Эдук Комоевэ исе..., Комоедук ӈо̄лэттэ-да̄ это̄п-то̄, эдук исерэ» — гуннэл.","Вот девушки пошли, говоря: «С этих пор мы не будем больше бояться Комое, не будем [его] видеть».",ND,ND,—,[transcribed_by: ...]
